publishDate,eventDate,time,location,money,column
2001-07-01,Jun 28,8:55,new-york historical society,$75000,"The Young Friends of the New-York Historical Society held a 1920's theme dance for 225 guests at the society's museum on Central Park West, raising $75,000."
2001-07-15,Jul 10,10:10,lincoln center,,"Lincoln Center opened its summer festival with four performances: the American premiere of ''White Raven,'' the opera by Philip Glass and Robert Wilson; a show by the French troupe Cirque Plume; the Italian opera ''Luci Mie Traditrici''; and ''Edda,'' a tale narrated in Old Norse. A buffet supper for 1,000 guests followed at the New York State Theater. The festival runs through Jul 29;"
2001-07-15,Jul 11,5:40,old westbury gardens,,"Old Westbury Gardens opened its Picnic Pops series of six concerts with a performance by Peter Duchin and his orchestra. Many of the 1,000 guests danced on its sloping lawns. The 88 acres and its house were open to concertgoers, and there was a private reception for 100 sponsors and patrons."
2001-07-15,Jul 11,12:40,four seasons,,"The architect Philip Johnson was saluted on his 95th birthday with a luncheon for 180 invited guests in the pool room at the Four Seasons restaurant."
2001-07-22,Jul 17,6:50,new-york historical society,,"The New-York Historical Society held a reception and talk by Bill Clinton. He follows in the footsteps of only one other president or former president: on Apr 30, 1839, John Quincy Adams addressed the society on the 50th anniversary of George Washington's first inauguration. Another Clinton, De Witt, was one of the founding members of the society in 1804 and its president from 1817 to 1819."
2001-07-22,Jul 18,10:25,bryant park,,"The Fashion Center Business Improvement District held its second Fashion Walk of Fame awards ceremony at a breakfast at the new Bryant Park Hotel. The group honors designers who worked in the United States. The white-bronze plaques, two and a half feet in diameter, were awarded to four living designers and to four posthumously. The plaques will be encased in four-foot squares of granite and set into the sidewalk later this month on the east side of Seventh Avenue, between 35th and 37th Streets.;"
2001-07-22,Jul 18,7:35,,$200000,"Friends of the High Line held a benefit auction at the Mary Boone Gallery attended by 400 guests, raising more than $200,000. The organization was founded two years ago to rescue and preserve the 1.45-mile elevated railroad viaduct that runs from Gansevoort Street to 34th Street, parallel to the Hudson River. The group's plan is to turn the structure into a promenade and sculpture garden, modeled after one in Paris called the Promenade Plantee, near the Bastille. Other groups would like to see it torn down.;"
2001-07-22,Jul 17,7:55,sotheby's,$185000,"Free Arts for Abused Children raised $185,000 at its second benefit auction held at Sotheby's. There were 180 works in the sale, all donated by artists or galleries.;"
2001-07-22,Jul 15,5:55,,$62000,"The Monmouth County Historical Association held its garden cocktail party on the lawns of Claire and Heywood J. Knopf overlooking the Navesink River in Rumson, N.J. It was attended by 400 guests, and raised $62,000.;"
2001-07-22,Jul 14,8:22,parrish art museum,$800000,"The Parrish Art Museum in Southampton, N.Y., raised $800,000 with a dinner and a dance for 1,350.;"
2001-07-29,Jul 24,8:25,museum of the city of new york,$123000,"The Director's Council of the Museum of the City of New York held its annual summer benefit dance. The evening, for 700 guests, began with cocktails on the Fifth Avenue terrace and continued inside. It raised $123,000."
2001-07-29,Jul 22,4:35,,$80000,"The Fire Island Dance Festival took place at a private home. It featured 36 volunteer dancers from 10 companies and raised more than $80,000 for Dancers Responding to AIDS. There were three performances over two days.;"
2001-08-05,Jul 31,7:15,,$1 million,"The Joseph Papp Public Theater/New York Shakespeare Festival benefited from a barbecue dinner backstage at the Delacorte Theater in Central Park. It was followed by a performance of ''The Seagull.'' The event, for 500 guests, raised nearly $1 million."
2001-08-05,Aug 2,7:30,metropolitan museum of art,,"Tony Bennett celebrated his 75th birthday at a party at the Metropolitan Museum of Art. Guests were asked to make donations to his Juvenile Diabetes Research Fund rather than bring gifts."
2001-08-05,Jul 28,9:05,,,"The Group for the South Fork, an environmental advocacy and education organization formed in 1972, benefited from an evening of cocktails, dancing and a Chanel fashion show. The event took place in a tent at Villa Maria in Water Mill, N.Y."
2001-08-05,Jul 28,5:50,,$35000,"The Breast Cancer Research Foundation raised $35,000 at an exhibition and sale of photographs by Evelyn H. Lauder at Mecox Gardens, a home accessories and garden design center in Southampton, N.Y. The reception was attended by 350 guests, and more than 180 works were sold. The show will continue through Aug 12"
2001-08-05,Jul 28,7:35,,$362460,"The Association of Community Employment Programs for the Homeless held its annual fund-raiser at the Southampton, N.Y., home of the group's founder, Henry Buhl, called Girasole, Spanish for sunflower. Mr. Buhl, a photographer, has a passion for the flower, and the house is surrounded by monumental sunflower sculptures. The party tents were pitched in the center of a field of lush yellow and mahogany sunflowers. There were 560 guests at the event, a cocktail auction followed by a dinner, dessert and disco dancing. It raised $362,460 for the organization. The guests entered the field through a new sculptured sunflower gate created by Angus Bruce, an artist. The grass pathway to the tents was lighted with turtle-shaped candles."
2001-08-19,Aug 11,4:10,,$20000,"The fifth of a series of six Mercedes-Benz Polo Challenges in Bridgehampton drew 1,000 guests to the cocktail tent for the sponsors' simultaneous party. The first five matches of the challenge have raised $20,000, to be donated to the South Fork Breast Health Coalition."
2001-08-19,Aug 11,8:10,,$100000,"Dr. Larry Rosenthal and his wife, Sandy, gave a dinner-dance for 400 at their home in Water Mill. It raised $100,000 for Michael Bolton Charities, which assists women and children who are poor and abused.;"
2001-08-19,Aug 11,7:00,,$140000,"The Artists Against Abuse Plate Auction attracted 500 guests and raised $140,000 for the Retreat, a Long Island organization, which provides shelter and programs for victims of domestic violence. Plates were decorated by 140 painters, sculptors, actors and musicians for live and silent auctions, held in a tent at the Channing Daughters Winery in Bridgehampton.;"
2001-08-19,Aug 11,8:55,,$150000,"The Millennium Kids Foundation and the Princess Grace Foundation-USA benefited from a dinner-dance at the home of Fred and Eva Gradin in Southampton. Three hundred and fifty guests, including Prince Albert of Monaco, attended the dinner. The evening raised over $150,000, to be divided between the two charities. The Princess Grace Foundation-U.S.A. supports young performing artists, and Millennium Kids provides in-school health care to students.;"
2001-08-12,Aug 4,5:40,donna karan,$700000,"The annual summer benefit of the Watermill Center took place on the center's grounds in Water Mill, N.Y. The center, founded by Robert Wilson, the multifaceted theater artist, promotes arts collaborations. Six Russian artists worked with Mr. Wilson to create the evening, which started with the 600 guests walking through art-filled woods. They emerged to find tableaux inspired by a work by Gogol. The party and auction raised $700,000."
2001-08-12,Aug 3,,metropolitan museum of art,$2.4 million,"Aug 3: The highlight of last weekend's centennial celebrations of the Elms, one of the fabled summer ''cottages'' in Newport, R.I., was the splashing waters of three fountains that had not operated together for the last 50 years. The repair of the marble fountains, which had lost their bronze statuary to vandals and thieves, was part of a $2.4 million, seven-year project that also restored the Italian Renaissance and classic French gardens. The Elms, a 14-acre estate on Bellevue Avenue, was built for Edwin J. Berwind, a Philadelphia coal magnate. The limestone mansion was saved from certain demolition and development in 1962 by Mrs. George Henry Warren, founder of the Preservation Society of Newport County, which had previously been dedicated to saving Colonial houses. When she heard that the Elms had been sold to real estate developers for $135,000, Mrs. Warren stepped in, and with the help of 57 backers, persuaded the new owners to sell most of the estate to the society for $75,000. (The deal allowed the developers to retain three large Victorian guesthouses on an adjacent street.) The mansion was opened to the public less than a month later, thanks to the speed at which Mrs. John Nicholas Brown and her committee refurnished the house with loans from many sources, including the Metropolitan Museum of Art and gifts from residents of the Newport summer colony, some of whom gave important pieces they had just bought at the auction of the mansion's contents. The Elms was the first of the summer palaces acquired by the society. Mrs. Warren and Mrs. Brown were the real heroes of the centennial celebration, which also featured a dinner dance on"
2001-09-02,Aug 29,12:15,waldorf-astoria,$1.5 million,"Jets players and management turned out in force for the Season Kickoff Luncheon, a benefit for the Alliance for Lupus Research. The setting was the Starlight Roof of the Waldorf-Astoria Hotel. The 550 guests raised more than $1.5 million."
2001-09-02,Aug 28,9:55,,$5800,"The Opera Company of Brooklyn staged a benefit recital at Bargemusic, a small floating theater close by the Brooklyn Bridge. About 100 people raised $5,800 for the resident artist program of the year-old opera company. The evening was a salute to the late Richard Tucker."
2001-09-02,Aug 27,5:35,,$150000,"Friends of City Parks Youth Tennis held a benefit auction and dinner before the opening night match of the United States Open. The 300 guests raised close to $150,000."
2001-09-02,Aug 25,5:20,,$60000,"The Covered Wagon Party, at Ash Grove Farm in Water Mill, N.Y., celebrated the Old West with a barbecue, demonstrations of roping and riding, wagon and pony rides, a petting zoo and Buffalo Bill's Wild West Show. Attended by about 320 children and adults, many of them duded up for the occasion, it raised more than $60,000 for the restoration of Hearst Castle in San Simeon, Calif., and the Peconic Baykeeper, a New York environmental organization."
2001-08-26,Aug 18,6:05,,$10000,"The Trust for Public Land, a national nonprofit organization that creates small public parks and conserves open space from shores to mountains, benefited from an intimate evening of acoustic music in Sag Harbor, N.Y. The event, at the home of Richard and Cynthia Zirinsky, of the real estate family, was attended by fifty guests and raised $10,000."
2001-08-26,Aug 18,8:03,,$250000,"The Animal Rescue Fund of the Hamptons gave its annual cocktail reception and dinner-dance at the estate in Southampton of Sandra McConnell. The evening was attended by 500 and raised $250,000. Rescuing abandoned animals at the end of the summer season, and finding homes for them, was the reason the fund began.;"
2001-08-26,Aug 23,8:40,saratoga springs n.y.,$100000,"In Saratoga Springs, N.Y., the Travers Celebration Committee organized three days of luncheons and receptions leading up to the million-dollar Travers Stakes on Saturday, the high point of the racing season. Three hundred seventy-five guests turned out for an evening of cocktails, a silent auction and a dinner-dance in a tent beside the track. Nighttime events at the track are uncommon, and this one was also more informal than the traditional black-tie benefits of August in Saratoga Springs. Between the main course and dessert, guests went outside for fireworks quiet enough not to disturb the horses in their stables. About $100,000 was raised for the Backstretch Employees Assistance Team and the National Museum of Dance.;"
2001-09-09,Sep 6,7:58,american museum of natural history,,"The American Museum of Natural History held a preview opening of its new exhibition ''Meeting God: Elements of Hindu Devotion,'' through Feb 24 An elaborate buffet of Indian food was held in the Hall of Northwest Coast Indians. There were henna artists painting guests' hands, live Indian music and an Indian dance troupe."
2001-09-09,Sep 2,1:32,,$150000,"The weeklong Hampton Classic Horse Show in Bridgehampton drew nearly 50,000 spectators and benefited the Southampton Hospital, the Long Island chapter of the Juvenile Diabetes Foundation, and the United States Equestrian Team. At the $150,000 grand prix jumping on Sunday, the main ring was enclosed on three sides with tents, where 3,200 guests attended private lunches. More than 4,000 general admission spectators filled the grandstand on the west end of the ring."
2001-09-23,Sep 19,8:40,cipriani 42nd street,$800000,"New Yorkers for Children toned down the decor and did away with the dancing at one of the first large benefit parties since the terrorist attack on the twin towers. The event, at Cipriani 42nd Street, was attended by 720 guests and raised $800,000 for children served by the Administration for Children's Services. New Yorkers for Children supports programs providing mentoring, college support, employment and cultural enrichment."
2001-09-23,Sep 20,6:55,,$65000,"Friends of Horticulture at Wave Hill held a plant sale, an auction and a buffet dinner that raised $65,000, half of which will be donated to the Red Cross in the wake of the terrorist attack. On the Hudson at 252nd Street, the park, always beautiful, seemed particularly serene, an oasis for the 175 guests."
2001-10-07,Oct 2,6:50,american craft museum's,$300000,"The American Craft Museum's awards benefit, called ''Visionaries,'' was held at the museum. It was attended by more than 400 guests and raised about $300,000."
2001-10-07,Oct 1,8:20,plaza,$500000,"The Municipal Art Society's annual awards dinner began with a reception in the lobby of the Seagram Building and then proceeded diagonally across Park Avenue to a dinner in the plaza of Lever House, filled with tents for the occasion. The event, for 400 guests, raised more than $500,000."
2001-09-30,Sep 25,10:40,city center,,"Dance Theater of Harlem opened its season at the City Center with four world premieres, but scaled down its postperformance benefit party. A reception was held in the lobby for a small group of benefactors and the company members."
2001-09-30,Sep 25,7:05,new york botanical garden,$475000,"The New York Botanical Garden held its annual Rose Garden dinner-dance, with 2,700 varieties of roses, at their peak of the autumn season, as the backdrop for the festivities. The event was held in a tent on a hill overlooking the rose garden, which was illuminated for the celebration. The evening raised $475,000, with 300 people in attendance."
2001-09-30,Sep 24,9:10,metropolitan opera,$2.7 million,"Opening night of the Metropolitan Opera season, which since 1883 has signaled the start of a new social season, this year was a low-key event. Instead of a formal dinner for patrons, a buffet was set up. The performances -- three single acts from three Verdi operas -- and reception raised $2.7 million for the Met. On the previous Saturday, the Met had raised $2.5 million for victims of the World Trade Center attack."
2001-10-14,Oct 3,8:45,museum of modern art,$464000,"Friends of Education, a committee of the Museum of Modern Art, was host to 450 guests at a performance by the jazz singer Cassandra Wilson. The evening also included a salute to the pianist and impresario George Wein on his 76th birthday. The committee, which encourages appreciation for African-American art and artists, raised $464,000 from the performance and from the dinner that followed."
2001-10-14,Oct 3,6:59,carnegie hall,,"Carnegie Hall opened its 111th season with a concert by the Berlin Philharmonic Orchestra conducted by Claudio Abbado. The 57th Street marquee was draped in black and maroon bunting, and many of the women in attendance wore black or white evening suits with jeweled brooches and red, white and blue loops of ribbon. The evening began with a preconcert reception at the hall and was followed by a supper for 700 at the Waldorf-Astoria."
2001-10-21,Oct 16,,pierre,$400000,"Oct 16: The Irvington Institute for Immunological Research held its award dinner at the Pierre. The event, attended by 240 guests, raised $400,000 for the"
2001-10-21,Oct 16,7:50,plaza,$500000,"Casita Maria, a settlement house serving the South Bronx and East Harlem, held its dinner-dance at the Plaza. The evening was attended by 315 people and raised $500,000."
2001-10-21,Oct 17,7:40,whitney museum,$200000,"The New York Studio School of Drawing, Painting and Sculpture held its dinner benefit at the school on West Eighth Street, the site of the original Whitney Museum of American Art, and raised $200,000."
2001-10-21,Oct 17,7:05,pierre,$1.8 million,"The Jewish Theological Seminary held its annual Louis Marshall awards dinner at the Pierre, raising $1.8 million."
2001-10-21,Oct 17,8:15,cipriani 42nd street,$275000,"The Boys' Club of New York held its autumn dinner and dance at Cipriani 42nd Street. The evening, attended by 350 guests and raising $275,000, began at Vanderbilt Hall at Grand Central Terminal with an exhibition of products called ''British Style.''"
2001-10-21,Oct 15,8:35,essex house,$600000,"Career Transitions for Dancers, an organization that helps dancers move on to new careers when their dancing days are over, held its Next Stop Gala. A dance performance at the Kaye Playhouse at Hunter College was followed by a dinner at the Essex House. The festivities, attended by 450 guests, raised $600,000."
2001-10-21,Oct 15,7:30,museum of the city of new york,,"The Museum of the City of New York held its annual dinner and dance at the museum celebrating ''Hirschfeld's New York,'' a retrospective of Al Hirschfeld's drawings."
2001-10-28,Oct 25,7:30,new york public library,$38 million,"The New York Public Library for the Performing Arts held a donors' dinner at its newly renovated facilities at Lincoln Center."
2001-10-28,Oct 24,8:30,donna karan,$500000,"The Dia Center for the Arts held its annual benefit dinner, attended by 420 guests, and raised $500,000. A reception before the dinner was held at the center, on West 22nd Street."
2001-10-28,Oct 24,,,,"Oct 24: The Fashion Group International, founded in the early 1930's"
2001-10-28,Oct 24,6:00,american museum of natural history,,"The American Museum of Natural History held its annual family party, drawing children and their parents to its galleries on Central Park West. The evening benefited the museum's education programs."
2001-10-28,Oct 22,9:30,pierre,$450000,"The Society of Singers was founded in 1984 to help professional singers in need of assistance because of personal, family or medical crises. It held an awards dinner at the Pierre that was attended by 434 guests and raised $450,000."
2001-10-28,Oct 22,7:30,frick,$340000,"The Frick Collection held its autumn dinner for 220 guests, raising $340,000 for its programs."
2001-10-28,Oct 19,8:40,,,"The VH1/ Vogue Fashion Awards were held at the Hammerstein Ballroom on 34th Street."
2001-11-04,Nov 1,,,,"Nov 1: The Visiting Nurse Service of New York held an awards"
2001-11-04,Nov 1,6:35,roosevelt hotel,$410000,"Concern Worldwide U.S.A., a nonprofit organization that provides emergency relief and development programs for poor nations, held its fifth annual awards dinner. The event, at the Roosevelt Hotel, was attended by 400 guests and raised $410,000."
2001-11-04,Oct 30,7:15,,$782000,"The Central Park Conservancy held its annual Halloween benefit in a tent set up at the Central Park Mall near 72nd Street. The event, which was called the ''Raise Your Spirits'' ball, included dinner and dancing. It was attended by 610 guests and raised $782,000."
2001-11-04,Oct 31,6:45,pierre,,"Stern College for Women, the women's undergraduate division of Yeshiva University, held a dinner attended by 266 guests at the Pierre."
2001-11-04,Oct 29,7:10,sheraton,$1 million,"The Thurgood Marshall Scholarship Fund held an awards dinner at the Sheraton New York Hotel and Towers. The evening, attended by 800 guests, raised $1 million for the fund, which provides aid for students attending black colleges and universities."
2001-11-04,Oct 29,8:20,studio museum in harlem,$800000,"The Studio Museum in Harlem held its annual awards benefit at the Metropolitan Pavilion in Chelsea, with 600 guests raising $800,000."
2001-11-04,Oct 29,6:45,,$650000,"The LD Access Foundation, which helps learning disabled adults, held an awards dinner at the Harmonie Club. The 350 guests raised $650,000."
2001-11-04,Oct 31,7:10,plaza,$350000,"The U.S.O. of Metropolitan New York celebrated its 60th anniversary with an awards dinner at the Plaza, with 475 guests raising $350,000."
2001-11-18,Nov 14,7:45,plaza,,"The Spanish Institute held its annual awards ceremony at a dinner at the Plaza for 343 guests."
2001-11-18,Nov 12,8:35,pierre,$1.5 million,"The American-Italian Cancer Foun- dation held its annual benefit at the Pierre for 450 guests and raised more than $1.5 million."
2001-11-18,Nov 13,8:10,donna karan,,"Donna Karan was the host of a reception in her new Madison Avenue museumlike store in honor of Iman, the model, and the publication of her book, ''I Am Iman'' (Universe)."
2001-11-18,Nov 12,9:20,plaza,$450000,"The Samuel Waxman Cancer Research Foundation held a benefit dinner at the Plaza for 250 guests and raised $450,000."
2001-11-18,Nov 12,6:40,,$375000,"The Hetrick-Martin Institute, an organization serving gay and transsexual youths, held an awards dinner for 525 guests and raised $375,000."
2001-11-18,Nov 9,7:20,st. regis,$68000,"The 196th annual benefit of the New England Society in the City of New York, at the St. Regis, was attended by 170 guests and raised $68,000. The society was founded in 1805 to commemorate the Pilgrim landing at Plymouth, Mass."
2001-11-18,Nov 12,7:50,new york public library,$1.5 million,"The Library Lions dinner for the New York Public Library was held at its landmark building on Fifth Avenue. It was attended by 350 and raised $1.5 million. A reception was followed by dinner. For the first time, a single lion, Brooke Astor, was honored and the dress code was changed to business attire from black tie."
2001-11-18,Nov 15,7:40,,,"The American Academy in Rome sponsored a dinner for 130 guests in honor of its returning fellows, recipients of the Rome Prize who had spent a year in Rome."
2001-11-18,Nov 14,6:50,waldorf-astoria,$2 million,"The International Rescue Committee's Freedom Award Dinner was held at the Waldorf-Astoria. Nine hundred guests attended and more than $2 million was raised."
2001-11-18,Nov 15,6:45,,$45000,"The Historic District Council held an awards ceremony in the newly renovated 100-year-old Appellate Division of the New York State Supreme Court building at Madison Avenue and 25th Street. The reception for 225 guests was followed by a dinner for 125 at a nearby restaurant. The evening raised $45,000."
2001-11-18,Nov 15,8:15,american museum of natural history,$1.2 million,"The American Museum of Natural History held its annual museum ball for more than 500 guests and raised $1.2 million. The evening began with the viewing of the current exhibition ''Pearls.''"
2001-11-18,Nov 12,10:40,lincoln center,$1 million,"Jazz at Lincoln Center held its annual awards benefit, with a concert followed by a dinner-dance for 700 guests. Nearly $1 million was raised."
2001-11-18,Nov 14,10:20,marriott marquis,$600000,"The National Book Awards dinner at the New York Marriott Marquis for 500 guests raised $600,000."
2001-11-18,Nov 9,8:20,pierre,$400000,"The Sheltering Arms Childrens Service held a benefit for 370 guests at the Pierre and raised more than $400,000."
2001-11-11,Nov 8,7:20,hilton new york,$250000,"One Hundred Black Men Inc. held their 22nd Annual Awards Dinner Dance at the Hilton New York. The 450 guests raised $250,000 for the organization's scholarship programs."
2001-11-11,Nov 7,7:10,whitney museum,,"A black-tie dinner at the Whitney Museum of American Art celebrated the opening of a retrospective exhibition of the works of Jacob Lawrence (1917-2000). It was attended by 180 guests. The exhibition is at the museum through Feb 3"
2001-11-11,Nov 7,8:45,,$100000,"Escada, the fashion house, opened its spacious new store at 715 Fifth Avenue, at 56th Street. The event benefited Lenox Hill Neighborhood House, for which the 380 guests raised more than $100,000, including a donation of $15,000 from Escada."
2001-11-11,Nov 5,8:10,rainbow room,$200000,"The annual benefit dinner dance of the American Associates of the Royal Academy Trust was held at the Rainbow Room. The event was attended by 250 guests and raised more than $200,000 for the exhibition programs of the Royal Academy of Arts."
2001-11-11,Nov 8,8:30,museum of the city of new york,$15000,"Tiffany & Company inaugurated its renovated second floor with a reception for 600 and a donation of $15,000 to the Museum of the City of New York. The space, in marble and exotic wood, is the setting for diamonds and important jewels."
2001-11-11,Nov 2,8:15,plaza,$500000,"The New York Landmarks Conservancy saluted ''living landmarks'' at its annual awards dinner dance at the Plaza. Attended by 500 guests, the event raised $500,000."
2001-11-11,Nov 7,6:35,,$60000,"Puppies Behind Bars, an organization that places puppies in prisons, where inmates begin their training as prospective guide dogs for the blind, benefited from a reception at the East Side home of Kathy and Billy Rayner. The Rayners, who were traveling, were represented by two Labrador retrievers named Kathy and Billy. Attended by 125 guests, the event raised $60,000."
2001-11-11,Nov 6,7:10,pierre,$600000,"The French Institute Alliance Francaise held its annual awards dinner dance at the Pierre. The 650 guests raised more than $600,000 to support the organization's programs."
2001-12-02,Nov 27,7:25,plaza,$400000,"The awards dinner of the Institute of International Education, which organizes exchange programs, took place at the Plaza. Attended by more than 250 guests, the event raised $400,000."
2001-12-02,Nov 26,6:55,new-york historical society,$735000,"The New-York Historical Society held an awards dinner at its museum. Attended by 350 guests, the dinner raised $735,000."
2001-12-02,Nov 29,7:05,national academy,$900000,"The National Academy Foundation, which supports career education for high school students, held an awards dinner at the New York Marriott Marquis. Attended by 450 guests, 40 of them students, the event raised $900,000."
2001-12-02,Nov 27,7:50,rainbow room,$550000,"The annual awards dinner-dance of the Burden Center for the Aging took place at the Rainbow Room. Attended by 360 guests, it raised $550,000."
2001-12-02,Nov 28,7:30,lincoln center,$45000,"The Chamber Music Society of Lincoln Center had a recital and a dinner at the Harold Pratt House. The event was attended by 100 guests and raised $45,000."
2001-12-02,Nov 29,8:20,madame tussaud's wax museum,$115000,"HeartShare, a social services organization, held its 13th annual auction of decorated trees at Madame Tussaud's wax museum. There was also a sale of bears dressed by designers and holiday ornaments signed by celebrities. The 500 guests, who mingled among the wax figures, raised $115,000."
2001-12-02,Nov 29,7:50,city center,$1.9 million,"The Wildlife Conservation Society benefited from a preview for 125 guests of animal paintings by Fleur Cowles at the Wildenstein Gallery. Ms. Cowles, an author, editor and diplomat as well as an artist, is perhaps best known for creating Flair magazine in 1950."
2001-11-25,Nov 20,6:50,waldorf-astoria,$1.18 million,"The Committee to Protect Journalists gave its Freedom Awards Dinner at the Waldorf-Astoria. It was attended by more than 800 and raised $1.18 million."
2001-11-25,Nov 19,9:50,cipriani 42nd street,$650000,"The annual awards dinner of Phipps Houses, attended by 420 guests, was given at Cipriani 42nd Street. It raised $650,000 for the development and operation of affordable housing."
2001-11-25,Nov 19,6:20,four seasons,,"Charlotte Ford celebrated the publication of her new book, ''21st Century Etiquette'' (Lyons Press) at the Four Seasons Hotel."
2001-11-25,Nov 20,10:50,new york state theater,$1.1 million,"At the New York City Ballet's opening night gala, the performance was followed by a dinner-dance on the promenade of the New York State Theater at Lincoln Center. The dinner was attended by 750. The evening raised $1.1 million."
2001-12-16,Dec 8,9:55,morgan library,$65000,"The Young Associates of the Morgan Library gave a benefit dance in the atrium of the library. It was attended by 375 guests and raised $65,000."
2001-12-16,Dec 8,10:50,lord & taylor,,"Lord & Taylor's holiday windows returned, after several years of experimentation, to their exquisite vignettes of Christmases past."
2001-12-16,Dec 9,7:40,four seasons,$300000,"The Volunteers of America benefited from a food and wine tasting for 325 guests, which raised more than $300,000. Twenty-six restaurants participated in the event at the Four Seasons restaurant."
2001-12-16,Dec 12,6:50,merchant's house museum,,"The Merchant's House Museum on East Fourth Street, the only 18th-century dwelling in New York City with all its original furnishings intact, held a holiday open house for members."
2001-12-16,Dec 13,6:45,,,"The French Embassy held a reception and medals ceremony at its Cultural Services building, awarding the designer Pauline Trigere the Legion of Honor."
2001-12-16,Dec 10,2:40,new york public library,,"The Carnegie Corporation of New York held an inaugural Andrew Carnegie Medals of Philanthropy awards lunch, honoring Walter and Leonore Annenberg, Brooke Astor, Irene Diamond, the Gates family, the Rockefeller family, George Soros and Ted Turner. The lunch for 450 was at the New York Public Library on Fifth Avenue."
2001-12-16,Dec 11,,,,"Dec 11: The Robin Hood Relief Fund benefited from a book-publishing party for ''New York"
2001-12-16,Dec 10,8:10,st. regis,$2 million,"The 2001 Governor's Parks and Preservation Award Dinner for 310 guests at the St. Regis raised $2 million to restore the rustic 1915 Bear Mountain Inn in Bear Mountain, N.Y."
2001-12-09,Dec 4,7:55,guggenheim,$700000,"The Guggenheim Museum held a preview of its new Sackler Center for Arts Education for 268 guests and raised $700,000 at the Fifth Avenue museum. A dinner followed nearby in the garden at the Cooper-Hewitt National Design Museum."
2001-12-09,Dec 3,,sotheby's,$800000,"Dec 3: An auction of Swatch watches donated from the private collection of Nicolas G. Hayak, the company's chairman, was held at Sotheby's and benefited God's Love We Deliver, which provides meals for people with AIDS. The evening, attended by 500, raised $800,000. God's Love We Deliver will give 10 percent of the money to the Windows of Hope Family Relief Fund for families of restaurant workers who died on"
2001-12-09,Dec 4,6:50,plaza,$500000,"The Hazelden Foundation held its annual benefit awards dinner for 400 guests and raised $500,000 at the Plaza to support its programs for drug-dependent people and their families."
2001-12-09,Dec 4,10:10,pier 60,$420000,"The Puerto Rican Legal Defense and Education Fund's dinner for 400 at Pier 60, Chelsea Piers, raised $420,000."
2001-12-09,Dec 5,8:00,american folk art museum,$22 million,"The American Folk Art Museum held a gala opening for 700 guests at its new $22 million building at 45 West 53rd Street. The eight-level museum, which unfolds with architectural surprises at every turn, opens to the public on Tuesday; its galleries at Lincoln Square remain open."
2001-12-09,Dec 1,7:35,new york hilton hotel,,"The Chinese American Unity Committee gave a dinner for 800 at the New York Hilton Hotel."
2001-12-09,Dec 5,10:35,,$400000,"The New York Academy of Art held its annual dinner followed by disco dancing at 540 West 21st Street. The event was attended by 850 guests and raised $400,000."
2001-12-23,Dec 14,6:45,,$250 million,"The Kimmel Center for the Performing Arts in Philadelphia had an opening that spanned three days. Tickets covering all events were $5,000; 2,500 people attended. The $250 million complex has a glass-and-metal barrel vault that covers two freestanding halls, the 2,500-seat Verizon Hall, new home of the Philadelphia Orchestra, and the 650-seat Perelman Theater, with a rooftop garden restaurant. Festivities for the first opening night took place in Verizon Hall, and included a concert by Elton John. A buffet dinner, along the promenades of the vault, followed."
2001-12-30,Dec 13,9:50,,,"Guests bearing armfuls of toys attended a benefit for the Children's Hope Foundation at the David Barton Gym, on the Avenue of the Americas at 15th Street. The foundation helps children in the New York area who have H.I.V. or AIDS, and assists their families."
2001-12-30,Dec 8,4:05,new york state theater,$500000,"The annual ''Nutcracker'' family benefit sponsored by the New York City Ballet and the School of American Ballet drew 775 guests to the promenade of the New York State Theater at Lincoln Center and raised about $500,000 for the school."
2002-01-06,Dec 31,9:50,pierre,,"New York City's New Year's Eve celebrations seemed to be on a low flame, though the Times Square crowd, restricted to corrals along Seventh Avenue, was pushed uptown as far as Central Park. The bans on pedestrians and cars from the Avenue of the Americas to Eighth Avenue made entering restaurants hard. The Midnight Run in Central Park drew fewer people than in other years, especially to the pre-race costume parade."
2002-01-06,Apr 23,,metropolitan museum of art,,"The gala preview of ''Jacqueline Kennedy: The White House Years'' at the Metropolitan Museum of Art recaptured the mystique that Mrs. Kennedy created in grand ceremonial occasions at the White House. Four thousand guests were dressed in their stylish best in homage to her."
2002-01-06,Jan 23,,new york public library,,"Jan 23: Descendants of Arturo A. Schomburg, whose collection of manuscripts and books was acquired by the New York Public Library in 1926, were among the 450 guests who attended the 75th anniversary dinner of the Schomburg Center for Research in Black Culture at the United Nations. 8."
2002-01-06,Jan 6,,brooklyn museum,,"Jan 6: The Brooklyn Museum of Art's First Saturday, a free open house held monthly on 11 Saturday evenings, includes dancing, art and entertainment. Up to 7,000 guests attend each event. 9."
2002-01-06,Feb 23,,frick,,"Feb 23: The Young Fellows of the Frick Collection staged a Tartan Ball at the museum, a farewell to the exhibition ''The Draftsman's Art: Master Drawings From the National Gallery of Scotland.'' 10."
2002-01-06,Sep 19,,,,"Sep 19: New Yorkers for Children toned down the decor at one of the first benefits after the"
2002-01-06,Dec 14,,,$30 million,"SIDNEY and CAROLINE KIMMEL at the opening of the Kimmel Center for the Performing Arts in Philadelphia. Mr. Kimmel, chairman of the Jones Apparel Group, made the largest donation to the center, more than $30 million. The celebrations spanned three days."
